台股ETF vs 大盤 歷年年度報酬率(%)，含息，曆年(1/1-12/31)
資料來源：TWSE官方收盤價/報酬指數 + Yahoo還原股價

年度,00631L,0050,0056,00878,00662,大盤加權報酬指數
2015,-16.50,-6.28,-5.38,,,-6.87
2016,39.20,19.65,11.29,,,15.59
2017,39.80,18.14,12.41,,20.63,19.52
2018,-10.40,-4.94,1.46,,0.72,-4.83
2019,70.90,33.52,29.01,,26.83,28.92
2020,68.10,31.14,9.27,,38.14,27.12
2021,62.20,21.92,18.72,25.45,26.64,27.06
2022,-36.40,-21.22,-17.67,-9.85,-26.33,-18.68
2023,62.90,27.52,56.85,43.80,54.20,31.48
2024,59.00,48.64,7.67,11.15,33.83,31.73
2025,51.00,36.86,11.97,6.31,14.82,29.47

綜合績效
統計期間,2016-2025,2016-2025,2016-2025,2021-2025,2017-2025,2016-2025
年化CAGR(%),35.07,19.35,12.71,13.96,18.78,17.44
累積報酬(%),1921.00,486.23,230.71,92.17,370.58,399.25
平均年報酬(%),40.63,21.12,14.10,15.37,21.05,18.74
最佳年(%),70.90,48.64,56.85,43.80,54.20,31.73
最差年(%),-36.40,-21.22,-17.67,-9.85,-26.33,-18.68
