_id,date,time,money,item,kind_id,kinds_id,kind,kinds,reason,confidence
21209,2026-07-01,19:09,45,"大 珍珠青x1=45,",1,4,"Food,Drink","Tea,Drink",純飲品,high
21205,2026-07-01,09:11,35,"泰山八寶粥易開罐375Gx1=35,",1,1,"Food,Drink",Breakfast,餐點+發票時間定餐別,med
21206,2026-07-01,09:11,35,"喬亞滴濾無糖黑咖啡寶特瓶溫瓶350MLx1=35,",1,4,"Food,Drink","Tea,Drink",純飲品,high
21207,2026-07-01,12:35,45,"iseLect經典莫卡咖啡375mlx2=60,iseLect咖啡第2件5折*2APC*x1=-15,",1,4,"Food,Drink","Tea,Drink",純飲品,high
21222,2026-07-02,17:42,39300,"RFB MBA 13.6 MDN/10C GPU/16GB/512GB-TWNx1=39300,",11,96,3C,Computer,電腦/筆電,high
21223,2026-07-02,21:07,91,"【113F 12095001】９５無鉛汽油x2.86=91,",3,11,Traffic,Petrol,汽油<300→機車,high
21224,2026-07-02,21:48,115,"阿甘薯叔冰烤地瓜x1=40,每朝健康無糖紅茶PET650x1=39,爆蛋燒肉新極大飯糰x1=55,i珍食折扣x1=-19",1,3,"Food,Drink",Dinner,餐點+發票時間定餐別,med
21213,2026-07-02,09:15,35,"喬亞滴濾無糖黑咖啡寶特瓶溫瓶350MLx1=35,",1,4,"Food,Drink","Tea,Drink",純飲品,high
21215,2026-07-02,18:48,59,"一配濃煮奶茶鹽可頌x1=39,泰山純水x1=20,",1,3,"Food,Drink",Dinner,餐點+發票時間定餐別,med
21226,2026-07-03,14:38,671,"Claude Code Vibe Coding 開發手冊,x1=671,",6,46,Education,Book & Magazine,書籍/手冊,high
21227,2026-07-04,09:15,87,"爆蛋燒肉新極大飯糰x1=55,日東紅茶皇家奶茶PET500x1=39,日東指定飲料單32元兩59元*A0Z9*x1=-7",1,1,"Food,Drink",Breakfast,餐點+發票時間定餐別,med
21238,2026-07-05,18:29,120,"高鐵便當x1=120,折扣排外品x1=0,",1,3,"Food,Drink",Dinner,餐點+發票時間定餐別,med
21233,2026-07-05,13:33,3099,"MIO 905W 行車紀錄x1=3999,COUPON FOR #144649x1=-900,",10,41,Other,Other Expense,行車紀錄器(車用/3C待定)，待手機歸類,low
21234,2026-07-05,14:54,70,"★統一麵包快樂牛奶球x1=25,iseLect經典莫卡咖啡375mlx2=60,iseLect咖啡第2件5折*2APC*",1,2,"Food,Drink",Lunch,餐點+發票時間定餐別,med
